Coffee Name,Caffeine Level,Sweetness,Type,Roast Level,Milk Type,Flavor Notes,Acidity Level,Bitterness Level,Weather,Temperature
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Frozen Hot Chocolate,Low,Low,Iced,Medium,Dairy,Chocolate,Medium,Low,Cold,Iced
Iced Handcrafted Milk Chocolate,Low,Medium,Iced,None,Dairy,Chocolate,Low,Low,Hot,Iced
Frozen Hot Chocolate,Low,Low,Hot,Medium,Dairy,Sweet,Medium,Medium,Cold,Hot
French Vanilla Cold Brew,Medium,Low,Hot,Medium,Dairy,Coffee,Low,Low,Hot,Hot
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino Supreme,High,Low,Iced,None,Dairy,Sweet,Medium,Medium,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Handcrafted Milk Chocolate,Medium,High,Iced,Dark,Dairy,Nutty,Low,Medium,Hot,Iced
Iced Cappuccino,Medium,High,Frozen,Medium,Dairy,Nutty,Medium,Low,Hot,Iced
Frozen Hot Chocolate,Low,High,Iced,None,Dairy,Chocolate,Low,Medium,Hot,Hot
Classic Roast,High,Medium,Hot,Medium,None,Vanilla,Low,Medium,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,High,High,Iced,Medium,None,Creamy,Low,Medium,Hot,Iced
Iced Cappuccino,High,Low,Iced,Medium,Dairy,Vanilla,Medium,Low,Cold,Hot
Triple Coffee Jelly,Medium,Low,Iced,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
French Vanilla Cold Brew,Medium,High,Iced,Medium,Dairy,Chocolate,Low,Low,Hot,Hot
Iced Latte,Medium,Medium,Iced,Medium,Dairy,Nutty,Medium,High,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
French Vanilla Cold Brew,High,High,Hot,Medium,None,Chocolate,Low,Medium,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Latte,Medium,Medium,Iced,Medium,Dairy,Nutty,Medium,High,Hot,Iced
Iced Latte,Medium,Medium,Iced,Medium,Dairy,Nutty,Medium,High,Hot,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Coffee,Low,High,Iced,Medium,None,Creamy,Low,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Handcrafted Milk Chocolate,Medium,High,Frozen,Medium,Dairy,Chocolate,Medium,Medium,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Cappuccino,Medium,Medium,Hot,Medium,None,Chocolate,Low,Medium,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Macchiato,Medium,Low,Hot,Medium,None,Nutty,Low,High,Cold,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced French Vanilla,Medium,Low,Iced,None,None,Caramel,Medium,Low,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
French Vanilla,Medium,High,Iced,Dark,Dairy,Espresso,Low,Medium,Hot,Hot
Cafe Americano,Low,Low,Iced,Medium,Dairy,Chocolate,Medium,Low,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Frozen Hot Chocolate,Low,Low,Hot,Medium,Dairy,Sweet,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Triple Coffee Jelly,High,Low,Hot,Medium,Dairy,Coffee,Low,Medium,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Handcrafted Milk Chocolate,Low,Low,Iced,Medium,Dairy,Vanilla,Low,Low,Hot,Iced
Iced Cappuccino,Medium,Low,Iced,Medium,Dairy,Vanilla,Low,Medium,Hot,Hot
Cappuccino,Low,High,Iced,Medium,None,Creamy,Low,Low,Hot,Iced
Double Double,Medium,Medium,Frozen,Medium,Dairy,Caramel,Low,Medium,Hot,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Classic Roast,High,High,Iced,Medium,None,Coffee,Low,Low,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
French Vanilla,High,Medium,Hot,Medium,Dairy,Nutty,Low,Low,Hot,Iced
Iced Handcrafted Milk Chocolate,Medium,Medium,Frozen,Medium,None,Caramel,Medium,High,Hot,Hot
Cafe Americano,Low,High,Iced,Medium,None,Coffee,Medium,Medium,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Macchiato,Medium,Low,Hot,Medium,None,Nutty,Low,High,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Medium,Dairy,Nutty,Medium,Medium,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Triple Coffee Jelly,Medium,Low,Iced,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Café Mocha,Medium,Medium,Hot,Dark,Dairy,Bitter,Low,Low,Hot,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Cappuccino,Medium,Medium,Hot,None,Dairy,Coffee,Low,Medium,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,Medium,High,Frozen,Medium,Dairy,Nutty,Medium,Low,Hot,Iced
Iced Cappuccino,Medium,Low,Iced,Dark,Dairy,Vanilla,Medium,Medium,Cold,Hot
French Vanilla,Low,High,Hot,Medium,None,Vanilla,Low,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Medium,High,Iced,Medium,None,Chocolate,Low,Low,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Macchiato,High,Low,Iced,Medium,Dairy,Chocolate,Low,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Spanish Latte ,Medium,Low,Iced,None,None,Coffee,Low,Medium,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
French Vanilla,High,Medium,Hot,Medium,Dairy,Chocolate,Low,High,Cold,Iced
Iced Coffee,Low,Medium,Hot,Dark,Dairy,Vanilla,Low,Low,Cold,Iced
French Vanilla Cold Brew,Medium,High,Iced,Medium,Dairy,Nutty,Low,High,Hot,Iced
Cappuccino,Medium,High,Iced,Medium,None,Creamy,Low,Low,Cold,Iced
Iced Handcrafted Milk Chocolate,Medium,High,Iced,Dark,Dairy,Nutty,Low,Medium,Hot,Iced
Iced Coffee,Medium,Medium,Iced,Dark,Dairy,Vanilla,Low,Medium,Hot,Iced
French Vanilla Cold Brew,Low,High,Iced,None,Dairy,Vanilla,Medium,Low,Cold,Hot
French Vanilla Cold Brew,Low,High,Iced,None,Dairy,Vanilla,Medium,Low,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
French Vanilla,Medium,High,Iced,Dark,Dairy,Nutty,Medium,Medium,Hot,Iced
Double Double,Medium,Medium,Frozen,Medium,Dairy,Caramel,Low,Medium,Hot,Iced
Triple Coffee Jelly,High,Low,Frozen,Medium,None,Nutty,Medium,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Triple Coffee Jelly,Low,Low,Hot,Medium,Dairy,Sweet,Low,Medium,Hot,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Medium,Hot,Medium,None,Nutty,Low,Low,Cold,Iced
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
French Vanilla,Medium,High,Iced,Dark,Dairy,Espresso,Low,Medium,Hot,Hot
Handcrafted Milk Chocolate,Low,Low,Iced,Medium,Dairy,Vanilla,Low,Low,Hot,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Cafe Americano,Low,Medium,Iced,Medium,Dairy,Vanilla,Medium,Medium,Hot,Hot
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,Medium,Low,Iced,None,None,Caramel,Medium,Low,Cold,Iced
Classic Roast,High,High,Hot,Medium,Dairy,Vanilla,Medium,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Spanish Latte ,Medium,Low,Iced,None,None,Coffee,Low,Medium,Hot,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Cappuccino,Medium,Low,Iced,Dark,Dairy,Vanilla,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Cafe Americano,Low,Low,Hot,Medium,Dairy,Sweet,Low,Medium,Hot,Hot
Dark Roast,High,Medium,Frozen,Medium,Dairy,Chocolate,Medium,Low,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,Medium,Iced,Medium,Dairy,Nutty,Low,Medium,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Cafe Americano,Low,High,Iced,Medium,None,Coffee,Medium,Medium,Cold,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced Cappuccino Supreme,High,Medium,Hot,None,Dairy,Coffee,Low,Medium,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Triple Coffee Jelly,High,High,Iced,Medium,None,Chocolate,Medium,Medium,Hot,Hot
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
French Vanilla,Medium,Low,Hot,Medium,Dairy,Sweet,Low,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Handcrafted Milk Chocolate,Medium,Medium,Frozen,Medium,None,Caramel,Medium,High,Hot,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Handcrafted Milk Chocolate,Medium,Medium,Frozen,Medium,None,Caramel,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Triple Coffee Jelly,Medium,Low,Iced,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Coffee,Low,Medium,Hot,Dark,Dairy,Vanilla,Low,Low,Cold,Iced
French Vanilla,Medium,Low,Hot,Medium,None,Creamy,Medium,Low,Hot,Hot
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,High,Medium,Iced,Dark,Dairy,Bitter,Low,Medium,Cold,Iced
Cafe Americano,Low,High,Iced,Medium,None,Coffee,Medium,Medium,Cold,Iced
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Iced Coffee,Medium,Medium,Iced,Dark,Dairy,Vanilla,Low,Medium,Hot,Iced
Cappuccino,Medium,High,Iced,Medium,None,Creamy,Low,Low,Cold,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced French Vanilla,Low,High,Frozen,Medium,Dairy,Vanilla,Medium,Medium,Cold,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Iced Coffee,Low,High,Hot,Medium,Dairy,Sweet,Low,High,Cold,Iced
Dark Roast,Medium,Low,Hot,Medium,Dairy,Nutty,Medium,Medium,Hot,Hot
Iced French Vanilla,Low,Medium,Hot,Medium,Dairy,Bitter,Low,Medium,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
French Vanilla,Low,Medium,Hot,None,Dairy,Chocolate,Low,Low,Hot,Hot
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Café Mocha,Medium,Low,Iced,Medium,Dairy,Creamy,Low,Low,Hot,Frozen
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced Coffee,Low,High,Iced,Medium,None,Creamy,Low,Medium,Cold,Hot
Spanish Latte ,Medium,Low,Iced,None,None,Coffee,Low,Medium,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Iced,None,Dairy,Chocolate,Low,Medium,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced French Vanilla,Low,High,Frozen,Medium,Dairy,Vanilla,Medium,Medium,Cold,Hot
Double Double,High,High,Hot,Medium,Dairy,Nutty,Medium,Medium,Hot,Iced
Iced Cappuccino,Medium,High,Frozen,Medium,Dairy,Nutty,Medium,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
French Vanilla,Medium,High,Iced,Dark,Dairy,Espresso,Low,Medium,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,High,Medium,Hot,Dark,Dairy,Chocolate,Low,Medium,Hot,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Handcrafted Milk Chocolate,Medium,Medium,Frozen,Medium,None,Caramel,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,Medium,Low,Iced,Dark,Dairy,Vanilla,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced Latte,Medium,Medium,Iced,Medium,Dairy,Nutty,Medium,High,Hot,Iced
Dark Roast,High,High,Hot,Medium,Dairy,Nutty,Low,Low,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
French Vanilla Cold Brew,Medium,High,Iced,Medium,Dairy,Nutty,Low,High,Hot,Iced
Iced Coffee,Medium,High,Iced,Medium,Dairy,Nutty,Medium,Medium,Hot,Iced
Spanish Latte ,High,Low,Hot,Medium,Dairy,Bitter,Low,Medium,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
French Vanilla Cold Brew,Low,High,Iced,None,Dairy,Vanilla,Medium,Low,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced French Vanilla,Medium,Low,Iced,Medium,Dairy,Nutty,Medium,Medium,Hot,Hot
Iced Cappuccino,Low,High,Hot,Medium,Dairy,Nutty,Medium,Medium,Cold,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
French Vanilla Cold Brew,Medium,Medium,Hot,Medium,None,Earthy,Low,High,Hot,Iced
Triple Coffee Jelly,Medium,Low,Iced,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Triple Coffee Jelly,High,High,Iced,Medium,None,Chocolate,Medium,Medium,Hot,Hot
French Vanilla Cold Brew,High,High,Hot,Medium,None,Chocolate,Low,Medium,Hot,Hot
Iced Coffee,Low,High,Iced,Medium,None,Creamy,Low,Medium,Cold,Hot
Handcrafted Milk Chocolate,Low,High,Hot,Medium,Dairy,Chocolate,Low,Medium,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Coffee,Low,Medium,Hot,Dark,Dairy,Vanilla,Low,Low,Cold,Iced
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Handcrafted Milk Chocolate,Medium,Medium,Frozen,Medium,None,Caramel,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Macchiato,High,Low,Iced,Medium,Dairy,Coffee,Low,Medium,Hot,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Triple Coffee Jelly,High,Low,Frozen,Medium,None,Nutty,Medium,Low,Hot,Iced
Iced Cappuccino,High,Medium,Iced,Medium,Dairy,Coffee,Medium,Medium,Cold,Iced
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
